u,v,key,length,flood_count,Degree,Mean Shortest Path Length,Closeness,bet,Pagerank,district
25629358,3186451581,0,90.247,0,6,20.26172885112671,0.049345013993090055,0.04458381783928559,0.00021999429855954847,ITAIM BIBI
25629358,3786501527,0,43.726,0,5,20.194680458071666,0.0495088444582655,0.007030543996848558,0.000191792903427103,ITAIM BIBI
25629371,8061934107,0,198.24599999999998,0,4,18.708164019209455,0.05344272653673755,0.0004315565679376046,0.00017821590634876317,ITAIM BIBI
25629371,25629374,0,86.87299999999999,0,4,19.33727373476173,0.051704046154433955,0.014053889931153803,0.00017174086586909428,ITAIM BIBI
25629374,28109489,0,210.78800000000004,0,5,19.800517177687478,0.05049440298507463,0.006247918287594008,0.00019605586548934414,ITAIM BIBI
25629374,302819883,0,315.486,0,4,19.78961950498707,0.05052220905162356,0.019380783397865056,0.00016978972243031769,ITAIM BIBI
25629418,302819883,0,15.782,0,4,19.712042851865533,0.05072103897077426,0.018116051090539195,0.0001754280235149037,ITAIM BIBI
25629418,25629425,0,349.29299999999995,0,4,19.005725895825638,0.05260600406231474,0.001379901308018838,0.00018088592408253376,ITAIM BIBI
25629418,302819874,0,45.084,0,4,19.915773919468045,0.05020218133254192,0.01690170522101651,0.0001781891473424263,ITAIM BIBI
25629422,302820033,0,61.98,0,4,22.835611377909125,0.04378316293516242,0.01588088907851058,0.00017877653775564333,ITAIM BIBI
25629422,301650793,0,70.153,0,4,21.939970446989285,0.04557049409427275,0.015761793861884886,0.00018168540618008374,ITAIM BIBI
25629422,302820012,0,162.597,0,4,22.731067602512006,0.04398452862691564,7.459810272158745e-05,0.00017961795073826809,ITAIM BIBI
25629425,8061934107,0,956.6229999999997,0,4,18.463243442925748,0.05415166066426571,0.000681852833648194,0.00018172266347761667,ITAIM BIBI
25629425,25629443,0,115.579,0,4,18.649057997783522,0.053612107045936254,0.001922373476055645,0.00018282737086766713,ITAIM BIBI
25629439,25629443,0,206.37300000000002,0,4,19.195788695973402,0.05208513750168389,0.0010733292806059983,0.00018178312097902002,ITAIM BIBI
25629439,302819998,0,87.71799999999999,0,4,20.117657923900996,0.04969839419007134,0.014813121937142591,0.0001815039737216984,ITAIM BIBI
25629439,301599587,0,72.616,5,4,20.047838936091615,0.049871474769437714,0.015562538403299592,0.00017566715669567725,ITAIM BIBI
25629443,1373371485,0,490.154,1,4,18.837089028444773,0.05307695324756825,0.0008166529140047468,0.00018353328010916388,ITAIM BIBI
25629505,297291292,0,186.813,0,4,20.10269671222756,0.049735381675181004,0.0010052748711056028,0.00018301998213477472,ITAIM BIBI
25629505,1113405354,0,426.91600000000005,0,4,19.81473956409309,0.05045815971736719,0.0021960634450319955,0.00018585144364008263,ITAIM BIBI
25629505,25641560,0,579.335,0,4,20.39083856667898,0.04903257364397261,0.0026820962590360224,0.00019162276325773007,ITAIM BIBI
25641085,1107272621,0,197.35800000000003,0,4,22.422053934244552,0.04459070951372814,0.01064789760952343,0.00018156962547924565,ITAIM BIBI
25641085,25641100,0,39.083,0,4,23.023457702253417,0.04342594003963129,0.0016517917613593606,0.00017587995787881158,ITAIM BIBI
25641085,4246898826,0,46.438,0,4,23.031584780199484,0.04341061647406029,0.009007557311301154,0.0001803027396514706,ITAIM BIBI
25641100,1491067907,0,44.891999999999996,0,4,23.614148503878834,0.0423396716387557,0.002971163907082174,0.00017354031644289218,ITAIM BIBI
25641100,1107272652,0,123.9,0,5,23.5764684152198,0.042407339219542005,0.004823192681010006,0.00020115208788193273,ITAIM BIBI
25641374,2552937028,0,413.087,0,4,21.160509789434798,0.047249111842392395,0.0009844986451283185,0.00018222878141043957,ITAIM BIBI
25711587,2050908617,0,38.317,0,5,24.366272626523827,0.0410327549481121,0.010830957427386273,0.00019248763489520846,ITAIM BIBI
25711587,1107272652,0,49.835,0,5,24.229589951976358,0.041264226743609876,0.0167726308722285,0.00019614053994191052,ITAIM BIBI
25711587,1107272575,0,225.98499999999999,0,4,24.16789804211304,0.04136955940234629,0.027592464021138748,0.00016909455766771312,ITAIM BIBI
25716952,3216234213,0,12.699,0,5,19.449575175471,0.05140550807217474,0.028663830193778387,0.00019631068861368771,ITAIM BIBI
