u,v,key,osmid,oneway,lanes,name,highway,maxspeed,reversed,length,geometry,from,to,grade,grade_abs,flood_count,flood_any,flood_duration_h,Mean Shortest Path Length,Closeness,Eigenvector,bet,Degree,Subgraph Centrality,Pagerank,junction,ref,bridge,tunnel,access,width,elevation,highway_code
597283,445043546,0,37916481,True,1.0,Rua da Figueira,residential,20.0,False,78.114,"LINESTRING (-46.6252641 -23.5533268, -46.625198 -23.5531056, -46.6250992 -23.5526412)",597283,445043546,0.115,0.115,0,False,0.0,23.2299747532706,0.04304288974736447,3.1491992252618884e-11,0.00027818581301456346,5,10.297189872513648,0.00012370758094613077,,,,,,,730.5,6
597283,25871833,0,1080789231,True,3.0,Avenida do Estado,primary,50.0,False,123.645,"LINESTRING (-46.6252641 -23.5533268, -46.6253476 -23.5531568, -46.6254012 -23.553051, -46.6254468 -23.5529601, -46.6254938 -23.5528494, -46.625526 -23.5527609, -46.6255604 -23.5526485, -46.6255814 -23.5525341, -46.6256216 -23.5522727)",597283,25871833,0.008,0.008,0,False,0.0,22.665710351159053,0.044114445417677166,1.194787968552642e-10,0.014275735461218731,5,10.536597051550645,0.000123149527633932,,,,,,,726.5,4
597283,396034445,0,1080789231,True,3.0,Avenida do Estado,primary,50.0,False,207.673,"LINESTRING (-46.6240972 -23.5548386, -46.6243107 -23.5546468, -46.6245204 -23.5544167, -46.6246936 -23.5542253, -46.6248732 -23.5540108, -46.6249695 -23.5538852, -46.6250736 -23.5537214, -46.6251756 -23.5535218, -46.6252641 -23.5533268)",396034445,597283,0.029,0.029,0,False,0.0,23.57275648381914,0.042416984319395556,3.070466063002108e-11,0.012148328499233179,5,9.99636221394127,0.0001262449290847224,,,,,,,729.0,4
597283,2389087317,0,237048498,True,3.0,Rua da Mooca,secondary,,False,31.076999999999998,"LINESTRING (-46.6249595 -23.5533388, -46.6251354 -23.5533323, -46.6252641 -23.5533268)",2389087317,597283,0.161,0.161,0,False,0.0,23.57998622905669,0.04240397905351476,3.100950824429097e-11,0.0023687027803346865,5,10.081820364792927,0.00012467583274161311,,,,,,,728.5,7
597426,2934921749,0,"[944018225, 1133010477]",True,4.0,Avenida Cruzeiro do Sul,primary,50.0,False,108.74000000000001,"LINESTRING (-46.6253024 -23.5252524, -46.6252799 -23.5246174, -46.6252735 -23.5243403, -46.6252716 -23.5242749)",597426,2934921749,0.064,0.064,0,False,0.0,30.710351159054394,0.03255857404431822,3.1576934355401745e-15,0.019106373243900906,4,7.529719725194458,0.00010025367002932562,,,,,,,728.5,4
597426,60634932,0,251862269,True,3.0,,primary_link,,False,36.423,"LINESTRING (-46.6255558 -23.5254833, -46.6254178 -23.5253576, -46.6253024 -23.5252524)",60634932,597426,0.165,0.165,0,False,0.0,30.17420243286665,0.033137089351862416,1.227049527548948e-14,0.011655475652414664,6,23.52552392779358,0.00013147625984517112,,,,,,,728.0,5
597426,60634936,0,251862168,True,4.0,Avenida Cruzeiro do Sul,primary,50.0,False,26.122,"LINESTRING (-46.625306 -23.5254873, -46.6253024 -23.5252524)",60634936,597426,0.115,0.115,0,False,0.0,30.595593298140923,0.03268069464761262,5.799566675643672e-15,0.007780767168358003,5,14.963504338907827,0.00011489117697423078,,,,,,,726.5,4
20944547,457051435,0,15807950,True,3.0,Avenida General Olímpio da Silveira,primary,50.0,False,115.88600000000001,"LINESTRING (-46.6587483 -23.5321244, -46.6587237 -23.5321312, -46.6586647 -23.5321514, -46.658622 -23.532172, -46.6585568 -23.5322036, -46.6582076 -23.5324, -46.6578428 -23.5326087, -46.6577695 -23.5326506)",20944547,457051435,-0.035,0.035,0,False,0.0,25.14298829469819,0.03976795559937196,1.9159027143363792e-09,0.033266528448795865,6,17.00854644167014,0.00012452838447312735,,,,,,,749.0,4
20944547,457051355,0,426403447,True,2.0,Rua Conselheiro Brotero,residential,,False,162.13,"LINESTRING (-46.6587483 -23.5321244, -46.6587522 -23.5321377, -46.6587801 -23.5322002, -46.6588178 -23.532274, -46.6593634 -23.5333764, -46.6594021 -23.5334533)",20944547,457051355,-0.006,0.006,0,False,0.0,25.828666513656184,0.03871222858564631,8.217786974804063e-10,0.0039954508215452175,5,12.410113651583695,0.00010750956771661253,,,,,,,750.5,6
20944547,435923774,0,247027161,True,3.0,Avenida General Olímpio da Silveira,primary,50.0,False,121.15800000000002,"LINESTRING (-46.6599258 -23.5319909, -46.6598554 -23.5319892, -46.6598301 -23.5319901, -46.6597402 -23.5319944, -46.6595706 -23.5320092, -46.6591477 -23.532064, -46.658927 -23.5320922, -46.6588949 -23.5320963, -46.6588027 -23.5321105, -46.6587483 -23.5321244)",435923774,20944547,-0.083,0.083,0,False,0.0,25.66421849896718,0.038960284030442056,1.1390897017879388e-09,0.00818372426025803,6,16.967616384541895,0.00012761358631619652,,,,,,,746.0,4
20944547,457051394,0,231243366,True,2.0,Rua Mário de Andrade,tertiary,,False,25.591,"LINESTRING (-46.6588444 -23.5319147, -46.6588257 -23.5319429, -46.658806 -23.5319747, -46.65879 -23.5319999, -46.6587803 -23.532019, -46.6587731 -23.5320341, -46.6587609 -23.532064, -46.658753 -23.5320892, -46.658748 -23.5321098, -46.6587483 -23.5321244)",457051394,20944547,0.039,0.039,0,False,0.0,25.7035804452605,0.03890062103481992,8.828379492109283e-10,0.02866163728875914,6,16.610089770506438,0.00012816120661958053,,,,,,,751.5,9
