Node,ms,mean_comm,vuln,betw,all_degree,in_degree,out_degree,e_mean,vuln_efi
530,5.2,15.935601209490454,0.0020668542335174466,50.5,4,2,2,0.006402902194981405,0.0015410157458900528
531,5.428571428571429,10.621315830040633,0.0018731387125129634,39.0,5,3,2,0.005577819686730579,0.001046470048555558
532,4.666666666666667,14.476857003397782,0.0019753592178963935,215.0,4,2,2,0.006068285399968571,0.0015853572834127652
533,5.870967741935484,18.446105209826182,0.0021805272448079125,82.83333333333331,5,2,3,0.006519461469956521,0.001245377601400076
534,6.033333333333333,10.814285399660614,0.0018327150451032026,137.83333333333331,5,3,2,0.005694378961705695,0.0020277649756703362
535,6.172413793103448,6.7997484770483805,0.0012281483258015614,26.0,5,3,2,0.005281837707580281,0.0012625221590786486
536,5.592592592592593,5.821567376029752,0.0016327303760124414,264.66666666666663,6,5,1,0.0047527371784797535,0.003003087027595866
537,4.8076923076923075,8.655289665908775,0.002059503973485221,486.5,5,4,1,0.005243202891717743,0.00659879436849185
538,0.0,0.0,0.0,0.0,2,2,0,0.0,0.0
539,0.5,2.0,0.0003201460740922774,2.0,5,4,1,0.0008250825082508251,0.00019330776443034873
540,6.0256410256410255,36.591053518323825,0.003776997374952913,575.8190476190476,6,3,3,0.01485327104138985,0.007279726618562411
541,5.851063829787234,14.18051755068138,0.00178877572590457,413.4166666666667,5,3,2,0.008402090209020902,0.004595444788060781
542,5.840909090909091,18.287203224753597,0.00223877664846924,170.10952380952378,4,3,1,0.007884806337776632,0.001738130014639874
543,4.976744186046512,42.268650464748966,0.003923109230046494,357.4428571428572,5,2,3,0.009949119911991199,0.00344538475178661
544,5.023809523809524,44.754807449530325,0.0029112606803076138,16.25,5,1,4,0.009949119911991199,0.0015378323045312984
545,5.4655172413793105,37.03250495753413,0.0034754319106056926,314.21190476190475,5,2,3,0.012274769143581022,0.003966691579930004
546,5.076923076923077,24.112454785882647,0.0028536977110551437,300.77619047619044,5,3,2,0.00858773377337734,0.003702235818868518
