osmid,y,x,highway,street_count,elevation,ref,geometry
60624603,-23.5607897,-46.6610672,traffic_signals,4,816.0,,POINT (-46.6610672 -23.5607897)
60624605,-23.5598933,-46.6620635,traffic_signals,4,808.0,,POINT (-46.6620635 -23.5598933)
60624607,-23.5607701,-46.6629912,traffic_signals,4,803.0,,POINT (-46.6629912 -23.5607701)
60624611,-23.5590381,-46.6611639,traffic_signals,4,843.0,,POINT (-46.6611639 -23.5590381)
60624614,-23.5647532,-46.6671365,traffic_signals,4,766.0,,POINT (-46.6671365 -23.5647532)
60624616,-23.5616524,-46.6639163,traffic_signals,4,792.0,,POINT (-46.6639163 -23.5616524)
60624618,-23.5626981,-46.6649949,traffic_signals,4,782.0,,POINT (-46.6649949 -23.5626981)
60624622,-23.5645698,-46.6686156,,3,762.0,,POINT (-46.6686156 -23.5645698)
60624635,-23.5574228,-46.6629878,traffic_signals,4,842.0,,POINT (-46.6629878 -23.5574228)
60624646,-23.5611014,-46.6667964,traffic_signals,4,779.0,,POINT (-46.6667964 -23.5611014)
60624648,-23.560065,-46.6657218,traffic_signals,4,799.0,,POINT (-46.6657218 -23.560065)
60624650,-23.5591739,-46.6647975,traffic_signals,4,812.0,,POINT (-46.6647975 -23.5591739)
60624688,-23.5582889,-46.6638756,traffic_signals,4,817.0,,POINT (-46.6638756 -23.5582889)
60624692,-23.563745,-46.6695383,,3,775.0,,POINT (-46.6695383 -23.563745)
60624694,-23.5631598,-46.6689313,traffic_signals,4,768.0,,POINT (-46.6689313 -23.5631598)
60624699,-23.5565532,-46.663954,,3,824.0,,POINT (-46.663954 -23.5565532)
60624706,-23.5583195,-46.667677,,3,802.0,,POINT (-46.667677 -23.5583195)
60624710,-23.5591956,-46.666697,traffic_signals,4,807.0,,POINT (-46.666697 -23.5591956)
60624713,-23.5635599,-46.663999,,3,781.0,,POINT (-46.663999 -23.5635599)
60624717,-23.5574286,-46.6648495,traffic_signals,4,831.0,,POINT (-46.6648495 -23.5574286)
60624720,-23.5583108,-46.6657742,,4,809.0,,POINT (-46.6657742 -23.5583108)
60624731,-23.5614182,-46.6709039,traffic_signals,4,777.0,,POINT (-46.6709039 -23.5614182)
60624736,-23.5622926,-46.6699232,traffic_signals,4,775.0,,POINT (-46.6699232 -23.5622926)
60624739,-23.5602359,-46.6677744,,4,786.0,,POINT (-46.6677744 -23.5602359)
60624741,-23.5593575,-46.6687659,,4,796.0,,POINT (-46.6687659 -23.5593575)
60624766,-23.5134849,-46.6536824,,3,735.0,,POINT (-46.6536824 -23.5134849)
60634932,-23.5254833,-46.6255558,traffic_signals,5,731.0,,POINT (-46.6255558 -23.5254833)
60634933,-23.5259257,-46.6255608,,3,734.0,,POINT (-46.6255608 -23.5259257)
60634934,-23.5264274,-46.6255716,,3,728.0,,POINT (-46.6255716 -23.5264274)
60634935,-23.5273444,-46.6256175,,3,732.0,,POINT (-46.6256175 -23.5273444)
60634936,-23.5254873,-46.625306,traffic_signals,4,728.0,,POINT (-46.625306 -23.5254873)
60634939,-23.5255003,-46.623228,traffic_signals,4,726.0,,POINT (-46.623228 -23.5255003)
60634941,-23.5254486,-46.6220505,,3,725.0,,POINT (-46.6220505 -23.5254486)
60641012,-23.5522917,-46.6376347,,3,756.0,,POINT (-46.6376347 -23.5522917)
60641027,-23.552042,-46.6359291,,3,767.0,,POINT (-46.6359291 -23.552042)
60641028,-23.5518993,-46.635442,traffic_signals,5,780.0,,POINT (-46.635442 -23.5518993)
60641030,-23.5517667,-46.634943,traffic_signals,4,773.0,,POINT (-46.634943 -23.5517667)
60641031,-23.5519876,-46.6344161,,3,767.0,,POINT (-46.6344161 -23.5519876)
60641034,-23.5520574,-46.6342543,traffic_signals,3,766.0,,POINT (-46.6342543 -23.5520574)
60641038,-23.5522027,-46.633903,traffic_signals,3,770.0,,POINT (-46.633903 -23.5522027)
60641043,-23.5525309,-46.6329267,traffic_signals,4,759.0,,POINT (-46.6329267 -23.5525309)
60641048,-23.5517762,-46.6325558,,3,773.0,,POINT (-46.6325558 -23.5517762)
60641052,-23.5504696,-46.6319095,,3,755.0,,POINT (-46.6319095 -23.5504696)
60641086,-23.5511669,-46.6354804,,3,778.0,,POINT (-46.6354804 -23.5511669)
60641088,-23.5514227,-46.6353811,traffic_signals,3,782.0,,POINT (-46.6353811 -23.5514227)
60641089,-23.5451434,-46.6336403,traffic_signals,3,792.0,,POINT (-46.6336403 -23.5451434)
60641100,-23.5486338,-46.6322968,,3,763.0,,POINT (-46.6322968 -23.5486338)
60641101,-23.549387,-46.6320901,traffic_signals,4,764.0,,POINT (-46.6320901 -23.549387)
60641102,-23.5494719,-46.6328143,,3,772.0,,POINT (-46.6328143 -23.5494719)
60641149,-23.5546563,-46.6356661,traffic_signals,3,766.0,,POINT (-46.6356661 -23.5546563)
60641181,-23.5554251,-46.6360307,traffic_signals,3,766.0,,POINT (-46.6360307 -23.5554251)
60641188,-23.5593063,-46.6376933,traffic_signals,4,772.0,,POINT (-46.6376933 -23.5593063)
60641197,-23.5582121,-46.6391686,,4,763.0,,POINT (-46.6391686 -23.5582121)
60641199,-23.5593312,-46.6401017,,3,770.0,,POINT (-46.6401017 -23.5593312)
60641200,-23.5588189,-46.6408305,,4,774.0,,POINT (-46.6408305 -23.5588189)
60641201,-23.5577068,-46.6398548,,3,764.0,,POINT (-46.6398548 -23.5577068)
60641204,-23.5597368,-46.6395684,,3,767.0,,POINT (-46.6395684 -23.5597368)
60641211,-23.550842,-46.634488,traffic_signals,3,784.0,,POINT (-46.634488 -23.550842)
60641252,-23.5495799,-46.6366614,traffic_signals,3,765.0,,POINT (-46.6366614 -23.5495799)
60641257,-23.5494279,-46.6374572,,3,757.0,,POINT (-46.6374572 -23.5494279)
60641282,-23.5501329,-46.6365356,,3,777.0,,POINT (-46.6365356 -23.5501329)
60641305,-23.552893,-46.6355562,,3,769.0,,POINT (-46.6355562 -23.552893)
60641326,-23.5554524,-46.6359047,traffic_signals,4,766.0,,POINT (-46.6359047 -23.5554524)
60641336,-23.5567191,-46.6362791,traffic_signals,3,771.0,A-230,POINT (-46.6362791 -23.5567191)
60641341,-23.5572532,-46.6364403,traffic_signals,4,770.0,,POINT (-46.6364403 -23.5572532)
60641359,-23.5529895,-46.6331555,,3,755.0,,POINT (-46.6331555 -23.5529895)
60641364,-23.5524714,-46.6332336,,3,763.0,,POINT (-46.6332336 -23.5524714)
60641382,-23.5555339,-46.6342403,traffic_signals,4,763.0,,POINT (-46.6342403 -23.5555339)
60641387,-23.555491,-46.6352632,traffic_signals,4,770.0,,POINT (-46.6352632 -23.555491)
60641411,-23.5554703,-46.6331061,traffic_signals,4,757.0,,POINT (-46.6331061 -23.5554703)
60641414,-23.5534514,-46.6332639,traffic_signals,3,764.0,,POINT (-46.6332639 -23.5534514)
60641427,-23.5571857,-46.6351386,traffic_signals,4,766.0,,POINT (-46.6351386 -23.5571857)
60641430,-23.5577713,-46.635098,,3,773.0,,POINT (-46.635098 -23.5577713)
60641438,-23.5571091,-46.6341192,traffic_signals,4,756.0,,POINT (-46.6341192 -23.5571091)
60641444,-23.5570412,-46.6330029,traffic_signals,4,748.0,,POINT (-46.6330029 -23.5570412)
