id,length,dir,municipio,distrito,bairro,nomesigla,tipo,nometit,nomeprep,name,start_left,end_left,start_righ,end_right,parity,left_zip,right_zip,cep_e,cep_d,extensao_m,nome_caps,onibus_msp,dist_cen_m,dist_cen_d,cdlog_cem,flood,Node,ms,mean_comm,vuln,betw,all_degree,in_degree,out_degree,e_mean,vuln_efi
217390,47.14,0,SAO PAULO,SE,CENTRO,,R,,,QUINZE DE NOVEMBRO,1,29,2,30,0,1013,1013,1013001.0,1013000.0,47,R QUINZE DE NOVEMBRO,0,161.75,161.75,SEE00027,0,1024,1.2857142857142858,15.083333365619184,0.0020471880779569,376.7545208541776,5,2,3,0.0037128712871287,0.0023623031869965
217391,55.63,0,SAO PAULO,SE,CENTRO,,R,,,QUINZE DE NOVEMBRO,31,91,32,92,0,1013,1013,1013001.0,1013000.0,55,R QUINZE DE NOVEMBRO,0,206.29,206.29,SEE00057,0,1025,1.25,5.66666667163372,0.0013754349017928,53.34620642515381,5,4,1,0.0016501650165016,0.0010196984573702
217392,68.72,0,SAO PAULO,SE,CENTRO,,PC,,DA,SE,1,75,0,0,0,1001,0,1001001.0,,68,PC DA SE,1,161.75,161.75,SEE00028,0,1026,1.5,4.16666667163372,0.0011303399063445,130.9825150821716,6,5,1,0.0015126512651265,0.0005427044677675
217393,61.24,0,SAO PAULO,SE,CENTRO,,R,,,ANCHIETA,1,59,2,58,0,1016,1016,1016030.0,1016030.0,61,R ANCHIETA,0,206.29,206.29,SEE00058,0,1027,0.6666666666666666,5.5,0.0011739319773836,201.9118383904425,4,2,2,0.0016501650165016,0.0009602199934767
217394,42.08,0,SAO PAULO,SE,CENTRO,,PO,,DO,COLEGIO,259,293,258,292,0,1016,1016,1016040.0,1016040.0,42,PO DO COLEGIO,1,201.55,201.55,SEE00056,0,1028,1.0,3.5,0.0009383807222047,87.08816160955743,5,4,1,0.0012376237623762,0.0004156116935254
217395,10.5,0,SAO PAULO,SE,CENTRO,,PO,,DO,COLEGIO,245,257,246,256,0,1016,1016,1016040.0,1016040.0,10,PO DO COLEGIO,1,231.09,231.09,SEE00072,0,1029,0.5,2.0,0.0006285456560831,14.0,4,3,1,0.0008250825082508,0.0005009892894822
217396,64.02,0,SAO PAULO,SE,CENTRO,,PO,,,COLEGIO,295,373,294,372,0,1016,1016,1016040.0,1016040.0,64,PO COLEGIO,1,239.52,239.52,SEE00076,0,1030,0.0,0.0,0.0,0.0,3,3,0,0.0,0.0
217397,16.23,0,SAO PAULO,SE,CENTRO,,R,,,LIBERO BADARO,225,245,224,244,0,1009,1008,1009000.0,1008000.0,16,R LIBERO BADARO,1,436.63,436.63,SEE00170,0,1031,2.1,15.559722235542722,0.0026773483780253,115.53571428571423,5,3,2,0.0039191419141914,0.0023900740754929
217398,17.74,0,SAO PAULO,SE,CENTRO,,R,,,LIBERO BADARO,247,255,246,256,0,1009,1008,1009000.0,1008000.0,17,R LIBERO BADARO,1,441.28,441.28,SEE00172,0,1032,1.625,17.25833332631737,0.0023897182651882,227.20238095238105,4,2,2,0.0035753575357535,0.0028102883348388
217399,81.34,0,SAO PAULO,SE,CENTRO,,PC,,DO,PATRIARCA,1,79,2,78,0,1002,1002,1002010.0,1002010.0,81,PC DO PATRIARCA,0,358.55,358.55,SEE00132,0,1033,1.8333333333333333,7.208333354443312,0.0020627658000753,69.80238095238097,6,5,1,0.0022002200220022,0.000364062956344
217400,81.07,0,SAO PAULO,SE,CENTRO,,PC,,DO,PATRIARCA,81,155,80,154,0,1002,1002,1002010.0,1002010.0,81,PC DO PATRIARCA,0,371.53,371.53,SEE00139,0,1034,1.1428571428571428,20.541666697710752,0.0018370896465224,82.83333333333333,5,1,4,0.0041254125412541,0.0007734611860132
217401,34.59,0,SAO PAULO,SE,CENTRO,,R,,,SAO BENTO,135,165,136,164,0,1011,1010,1011000.0,1010000.0,34,R SAO BENTO,0,358.55,358.55,SEE00133,0,1035,1.2,9.16666667163372,0.0027626962831302,129.79761904761904,6,4,2,0.0024752475247524,0.0016670074984147
217402,431.59,0,SAO PAULO,SE,CENTRO,,PQ,,,ANHANGABAU,0,0,42,492,0,1007,1007,1007040.0,1007040.0,431,PQ ANHANGABAU,0,499.38,499.38,SEE00211,1,1036,0.0,0.0,0.0,0.0,5,5,0,0.0,0.0
217403,151.38,0,SAO PAULO,SE,CENTRO,,R,,,LIBERO BADARO,257,413,258,412,0,1009,1008,1009000.0,1008000.0,151,R LIBERO BADARO,1,447.06,447.06,SEE00174,0,1037,1.0,3.5,0.0005751878501151,49.86904761904764,4,3,1,0.0012376237623762,0.0002417497696837
217404,158.08,0,SAO PAULO,SE,CENTRO,,R,,,SAO BENTO,167,323,166,322,0,1010,1010,1010000.0,1010000.0,158,R SAO BENTO,0,371.53,371.53,SEE00140,0,1038,0.75,7.5,0.0018881989377232,82.13095238095237,6,3,3,0.0024752475247524,0.001083862409049
217405,143.12,0,SAO PAULO,SE,CENTRO,,R,,DA,QUITANDA,75,213,74,212,0,1012,1012,1012010.0,1012010.0,143,R DA QUITANDA,0,315.12,315.12,SEE00108,0,1039,0.0,0.0,0.0,0.0,6,6,0,0.0,0.0
217406,80.13,0,SAO PAULO,SE,CENTRO,,R,DR,,MIGUEL COUTO,1,79,2,78,0,1008,1008,1008010.0,1008010.0,80,R DR MIGUEL COUTO,0,463.49,463.49,SEE00187,0,1040,0.5,2.0,0.0005810875618341,15.833333333333334,5,4,1,0.0008250825082508,0.0001610898036919
217407,26.29,0,SAO PAULO,SE,CENTRO,,LG,,DO,CAFE,1,21,2,20,0,1012,1012,1012030.0,1012030.0,26,LG DO CAFE,0,451.0,451.0,SEE00181,0,1041,0.0,0.0,0.0,0.0,5,5,0,0.0,0.0
217408,150.05,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,FORMOSA,349,509,0,0,0,1049,0,1049000.0,,150,R FORMOSA,0,629.86,514.63,REP00223,0,1042,0.0,0.0,0.0,0.0,3,3,0,0.0,0.0
217409,64.16,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,SANTO AMARO,763,827,762,826,0,1315,1315,1315001.0,1315000.0,64,R SANTO AMARO,1,844.9,1311.64,REP00603,0,1043,2.9130434782608696,30.84385028772893,0.0039686476316046,66.27142857142857,5,3,2,0.0072057205720572,0.0008441105713465
217410,27.09,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,SANTO AMARO,717,761,716,760,0,1315,1315,1315001.0,1315000.0,27,R SANTO AMARO,1,831.7,1284.51,REP00595,0,1044,2.409090909090909,40.27766633523017,0.0056147200573822,211.26190476190476,6,3,3,0.0081820682068206,0.0039293499120325
217411,94.74,0,SAO PAULO,REPUBLICA,CENTRO,,R,,DO,BIXIGA,1,85,2,86,0,1315,1315,1315020.0,1315020.0,94,R DO BIXIGA,0,796.27,1176.39,REP00578,0,1045,3.35,22.376564244186657,0.001619696000807,67.33333333333333,4,2,2,0.0058521923620933,0.0013445245401009
217412,92.4,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,SANTO AMARO,631,715,632,714,0,1315,1315,1315001.0,1315000.0,92,R SANTO AMARO,1,796.27,1192.43,REP00582,0,1046,2.8421052631578947,25.42613024627316,0.0025701038038735,131.7809523809524,4,2,2,0.0062431243124312,0.002002496191961
217413,38.98,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,SANTO AMARO,593,629,592,630,0,1315,1315,1315001.0,1315000.0,38,R SANTO AMARO,1,782.0,1153.39,REP00572,0,1047,3.294117647058824,19.130285571608773,0.001852753436145,67.94761904761904,4,2,2,0.0051646236052176,0.0015212595807882
217415,79.08,0,SAO PAULO,REPUBLICA,CENTRO,,PC,,,PEROLA BYINGTON,0,0,0,0,0,1318,1318,1318010.0,1318010.0,79,PC PEROLA BYINGTON,1,804.06,1311.64,REP00601,0,1048,1.9,23.134722279501148,0.0051963243177472,61.16666666666667,7,4,3,0.0044691969196919,0.0013174461111948
217416,28.4,0,SAO PAULO,REPUBLICA,CENTRO,,AV,BRG,,LUIS ANTONIO,555,577,556,578,0,1317,1318,1317000.0,1318000.0,28,AV BRG LUIS ANTONIO,1,804.06,1344.16,REP00605,0,1049,2.0,14.216666684485972,0.0021713818977593,71.45238095238095,4,2,2,0.0036441144114411,0.0006594709725423
217417,159.16,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,FRANCISCA MIQUELINA,211,355,210,354,0,1316,1316,1316000.0,1316000.0,159,R FRANCISCA MIQUELINA,0,689.97,1154.29,REP00574,0,1050,2.2857142857142856,29.60714291666227,0.0035620962801911,178.14761904761906,5,2,3,0.0056655665566556,0.0015266954899647
217418,77.16,0,SAO PAULO,REPUBLICA,CENTRO,,R,DR,,NESTOR ESTEVES NATIVIDADE,1,67,2,66,0,1315,1315,1315030.0,1315030.0,77,R DR NESTOR ESTEVES NATIVIDADE,0,773.78,1123.01,REP00563,0,1051,3.882352941176471,12.893355975479874,0.0011956821758564,65.35238095238095,4,2,2,0.0046843077164859,0.0007889948456542
217419,27.79,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,SANTO AMARO,563,591,564,590,0,1315,1315,1315001.0,1315000.0,27,R SANTO AMARO,1,773.78,1125.65,REP00565,0,1052,3.3125,14.570262932860714,0.0015048055927315,70.94761904761904,4,2,2,0.0048895961024673,0.0011389781347409
217420,255.64,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,SANTO AMARO,295,561,296,562,0,1315,1315,1315001.0,1315000.0,255,R SANTO AMARO,1,676.02,874.52,REP00475,0,1053,1.0,3.5,0.000835767313321,14.566666666666668,5,4,1,0.0012376237623762,0.0002287475212424
217421,86.38,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,AGUIAR DE BARROS,101,183,102,184,0,1316,1316,1316020.0,1316020.0,86,R AGUIAR DE BARROS,0,700.3,1147.09,REP00570,0,1054,2.7857142857142856,18.572420667405822,0.001919590123305,74.33333333333334,4,2,2,0.0047992299229923,0.0014514958406957
217422,15.81,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,GENEBRA,309,319,308,318,0,1316,1316,1316010.0,1316010.0,15,R GENEBRA,0,689.97,1147.09,REP00569,0,1055,2.230769230769231,22.368055563536476,0.0026186273283168,97.93333333333334,5,2,3,0.0053905390539053,0.0016410030015328
217423,99.69,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,AGUIAR DE BARROS,1,99,2,100,0,1316,1316,1316020.0,1316020.0,99,R AGUIAR DE BARROS,0,645.35,1154.29,REP00573,0,1056,1.9,17.508333363570273,0.0022099413567946,90.5,5,2,3,0.0044691969196919,0.0021623760787284
217424,221.02,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,GENEBRA,83,307,82,306,0,1316,1316,1316010.0,1316010.0,221,R GENEBRA,0,601.08,932.37,REP00501,0,1057,0.6666666666666666,5.5,0.0008787324946402,26.1,4,2,2,0.0016501650165016,0.0003819362536109
217426,223.17,0,SAO PAULO,REPUBLICA,CENTRO,,R,,,ASSEMBLEIA,205,369,204,368,0,1320,1320,1320050.0,1320050.0,223,R ASSEMBLEIA,0,606.21,1295.63,REP00600,0,1058,1.818181818181818,21.761111160973087,0.0017664098682492,57.33333333333333,4,1,3,0.0050192519251925,0.0017595609128986
