design_d1,district,metric,n_edges_d1,n_flooded_d1,p_MWU_d1,rank_biserial_d1,CI_low_d1,CI_high_d1,se_d1,p_BH_d1,design_d2,n_edges_d2,n_flooded_d2,p_MWU_d2,rank_biserial_d2,CI_low_d2,CI_high_d2,se_d2,p_BH_d2
design1,SANTA CECILIA,Mean shortest path length,619,17,0.10332407223459088,0.23158100449482122,-0.04694681705631387,0.5101088260459563,0.14210603140364036,0.3321130893254707,design2,619,17,0.8440963857369234,0.028043775649794878,-0.2504840459013402,0.30657159720092997,0.14210603140364036,0.9090268769474559
design1,SANTA CECILIA,Closeness,619,17,0.10332407223459088,-0.23158100449482122,-0.5101088260459563,0.04694681705631387,0.14210603140364036,0.3321130893254707,design2,619,17,0.8440963857369234,-0.028043775649794767,-0.30657159720092986,0.2504840459013403,0.14210603140364036,0.9090268769474559
design1,SANTA CECILIA,Betweenness,619,17,0.8210223511135754,0.03224545632206377,-0.24628236522907132,0.31077327787319886,0.14210603140364036,0.952930017387429,design2,619,17,0.6302741836936505,0.06849716630838376,-0.21003065524275133,0.34702498785951885,0.14210603140364036,0.7958733592595033
design1,SANTA CECILIA,PageRank,619,17,0.04606947483632771,0.2835645886261482,0.005036767075013104,0.5620924101772833,0.14210603140364036,0.23034737418163853,design2,619,17,0.034247056124434974,0.30095759233926134,0.022429770788126246,0.5794854138903964,0.14210603140364036,0.11415685374811659
design1,SANTANA,Degree,261,11,0.858785651142715,0.02581818181818174,-0.32346666330153284,0.3751030269378963,0.17820655363250745,0.952930017387429,design2,2335,16,0.30231012084862374,0.1289887882708063,-0.15494789018484978,0.41292546672646235,0.14486565227329393,0.4737695923747089
design1,SANTANA,Mean shortest path length,261,11,0.26785765403111617,0.1978181818181819,-0.1514666633015327,0.5471030269378965,0.17820655363250745,0.4821437772560091,design2,2335,16,0.7482675636043806,0.046517895644674345,-0.23741878281098172,0.3304545741003304,0.14486565227329393,0.8681557367785631
design1,SANTANA,Closeness,261,11,0.26785765403111617,-0.19781818181818178,-0.5471030269378964,0.1514666633015328,0.17820655363250745,0.4821437772560091,design2,2335,16,0.7482675636043806,-0.046517895644674456,-0.3304545741003305,0.2374187828109816,0.14486565227329393,0.8681557367785631
design1,SANTANA,Betweenness,261,11,0.023890873869399684,0.4029090909090909,0.0536242457893763,0.7521939360288055,0.17820655363250745,0.17918155402049762,design2,2335,16,0.010095630620190347,0.3726282880551961,0.08869160959954003,0.6565649665108522,0.14486565227329393,0.05047815310095173
design1,SANTANA,PageRank,261,11,0.6786705861411005,-0.07418181818181813,-0.4234666633015327,0.27510302693789646,0.17820655363250745,0.8725764678957006,design2,2335,16,0.6387929971028041,-0.06802501078050882,-0.3519616892361649,0.21591166767514725,0.14486565227329393,0.7958733592595033
design1,SE,Degree,484,26,0.19052281786084613,0.13705072220356063,-0.09132340485596516,0.3654248492630864,0.11651741176506418,0.4286763401869038,design2,484,25,0.12526330378765083,0.1639215686274509,-0.06872141884985836,0.39656455610476016,0.11869540177413737,0.24584386724679136
design1,SE,Mean shortest path length,484,26,0.1791315200470559,-0.15661740006718172,-0.3849915271267075,0.07175672699234406,0.11651741176506418,0.4242588632693429,design2,484,25,0.004430641125477211,-0.3378649237472767,-0.570507911224586,-0.10522193626996748,0.11869540177413737,0.029076082385944193
design1,SE,Closeness,484,26,0.1791315200470559,0.15661740006718183,-0.07175672699234395,0.3849915271267076,0.11651741176506418,0.4242588632693429,design2,484,25,0.004430641125477211,0.3378649237472766,0.10522193626996737,0.5705079112245859,0.11869540177413737,0.029076082385944193
design1,SE,Betweenness,484,26,0.2806143109739181,0.12579778300302324,-0.10257634405650254,0.354171910062549,0.11651741176506418,0.485678615147166,design2,484,25,0.18194540019770977,0.1585185185185185,-0.07412446895879074,0.3911615059958278,0.11869540177413737,0.3293839141510263
design1,SE,PageRank,484,26,0.7891693005487957,0.031239502855223478,-0.1971346242043023,0.25961362991474923,0.11651741176506418,0.952930017387429,design2,484,25,0.7080761145734957,0.04453159041394339,-0.18811139706336585,0.27717457789125266,0.11869540177413737,0.842218928653696
